eid	name
2986	Category:Films_set_in_a_fictional_country
3002	Category:1971_films
3006	Category:1990s_independent_films
3008	Category:Screenplays_by_Sergio_Leone
3009	Category:Palme_d'Or_winners
3016	Category:Films_directed_by_Garry_Marshall
3030	Category:1959_films
3032	Category:Films_directed_by_Mel_Brooks
3035	Category:Film_scores_by_Basil_Poledouris
3045	Category:LGBT-related_horror_films
3049	Category:Films_shot_in_Iowa
3056	Category:Films_set_in_the_1920s
3057	Category:2000s_crime_drama_films
3058	Category:Films_about_contract_killing
3059	Category:Films_set_in_1999
3061	Category:British_comedy_films
3066	Category:American_horror_films
3067	Category:Films_set_in_1978
3078	Category:Films_set_in_the_Soviet_Union
3085	Category:Seafaring_films
3087	Category:1970s_action_films
3090	Category:Romantic_period_films
3092	Category:Gangster_films
3097	Category:Films_about_telepresence
3102	Category:Films_set_in_1997
3117	Category:Spaghetti_Western_films
3133	Category:Supernatural_thriller_films
3135	Category:American_children's_fantasy_films
3143	Category:Films_based_on_mystery_novels
3150	Category:A_Nightmare_on_Elm_Street
3152	Category:Film_scores_by_Ry_Cooder
3155	Category:BDSM_in_films
3157	Category:Cinergi_Pictures_films
3164	Category:Italian_independent_films
3167	Category:Films_that_won_the_Best_Sound_Editing_Academy_Award
3185	Category:1980s_biographical_films
3189	Category:Films_featuring_a_Best_Actress_Academy_Award-winning_performance
3191	Category:Films_directed_by_Mike_Nichols
3197	Category:Films_set_in_the_1900s
3206	Category:Films_produced_by_David_Brown
3214	Category:Snuff_films_in_fiction
3221	Category:Supernatural_horror_films
3227	Category:1990s_sequel_films
3228	Category:Legal_films
3233	Category:Films_set_in_Berlin
3235	Category:1945_films
3238	Category:Mafia_films
3240	Category:Films_about_technological_impact
3244	Category:Films_about_paraplegics_or_quadriplegics
3248	Category:Films_directed_by_Frank_Oz
3252	Category:Military_courtroom_films
3272	Category:Film_scores_by_Roy_Webb
3275	Category:LGBT-related_coming-of-age_films
3278	Category:The_Ladd_Company_films
3292	Category:Universal_Pictures_animated_films
3295	Category:Action_adventure_films
3297	Category:1980s_psychological_thriller_films
3298	Category:Film_soundtracks
3299	Category:1980s_martial_arts_films
3300	Category:1950s_musical_comedy_films
3316	Marshall_Company_films
3321	Category:Jazz_films
3330	Category:IMAX_films
3331	Category:1970s_LGBT-related_films
3334	Category:Films_set_in_Kentucky
